name,description,topics
East Bay Cohousing - Berkeley/Oakland/E'ville,"<p>Welcome! East Bay Cohousing is for people interested in intentional communities and creating ways of meeting our daily needs for shelter and livelihood through cooperative long-term relationships among peers.&nbsp;</p>
<p><span>We are a big tent for all manner of self-governing member-led ""collaborative housing"" communities, including&nbsp; housing cooperatives, student coops, collective and co-living households, as well as co-housing neighborhoods, urban and rural eco-villages, faith-based or service oriented, moshads, kibbutzes and income sharing communes!&nbsp; &nbsp;EBCOHO&nbsp;</span><span>Members come from every county in the Bay Area, and other parts of the US and the world. &nbsp;</span></p>
<p>Check out the <b>EBCOHO calendar and events descriptions,&nbsp;</b>past and present, to see the range of events we produce or curate from among our members, friends, partners, friends, and movement allies for a more just, sustainable, and flourishing world. &nbsp;Look for socials, orientations, workshops, discussions, slide shows, movie nights, open houses, work-days, trainings, tours, and conferences.&nbsp;</p>
<p>Explore the <b>Discussion Forums</b>&nbsp;to post and search for openings, forming groups, call-outs from Members, and other features.&nbsp;</p>
<p><span><b>Orientations </b>for newcomers are usually offered every 4-6 weeks. This is where you can explore current and long-term opportunities to join a community, ask lots of questions, share who you are and your dreams, and start meeting like-minded people. If you are a do-it-yourself learner or explore the big picture, you'll get lots of useful resources.&nbsp;</span></p>
<p>Joining EBCOHO also makes you part of <b>Cohousing California.</b> &nbsp;At <a href=""http://www.CalCoho.org"" class=""linkified"">http://www.CalCoho.org</a> you will find other regional networks, a combined calendar of events, links to forming and existing communities we know, and links to our&nbsp;partners, networks we belong to, and groups we consider allies around the world. &nbsp;</p>
<p>Use the <b>Suggest a Meetup&nbsp;</b>feature if you'd like to see a particular topic addressed, or if you've got something you are hosting.&nbsp;Events we personally host&nbsp;(Cohousing Coaches Raines &amp; Betsy, that is),&nbsp;almost always include ample time for members to share&nbsp;their personal visions, skills and experiences.&nbsp;</p>
<p><span>EBCOHO is not usually a quick route to cheap housing, although members do share openings and offers, and we do list and refer members to openings in established intentional communities, both rental and ownership, in the Bay Area and beyond.&nbsp;</span><br></p>
<p><span>Thousands of Bay Area residents already live in safe and stable collaborative housing situations sharing life experiences and living expenses, decision-making, and ownership. &nbsp;</span><span>Across the US and the world, millions more of people are</span><span>&nbsp;living more sustainably, more democratically, more cooperatively, and more cost effectively, out of the booms and busts of predatory real estate markets.&nbsp;</span></p>
<p><span>If you want to know your neighbors well, have a better life by sharing more, and live more&nbsp;peacefully and lightly on the planet &nbsp;then please join us!&nbsp;</span></p>
<p><b>MORE.... about the sponsors and hosts of East Bay Cohousing.&nbsp;&nbsp;</b><br></p>
<p>This work is self-funded by the organizers, with a depth of knowledge and commitment that makes it unusual among Meetups (at least we think so!).&nbsp;&nbsp;</p>
<p>Thank you to Supporting Members and our Coaching Clients for helping defray some of the expenses of this labor of love.&nbsp; We&nbsp;thank you with a free orientation, and discounts to future events hosted &nbsp;by us and some of our sponsors/partners. You can track income and expenses on the Money page.&nbsp;</p>
<span>EBCOHO and Cohousing California are projects of Raines Cohen and Betsy Morris and our business partnership, Planning for Sustainable Communities.&nbsp; &nbsp;Each of us has lived in multiple cooperative living situations in the Bay Area before moving in together to Berkeley Cohousing, where we have been members since 2003. &nbsp;Raines has been deeply involved in technology user groups, tech for the social good, journalism and database consulting; Betsy has a PhD, a Masters in city and regional planning, and 20 years experience as a community development and research consultant. Both of us love organizing events that put people first, offer quality resources, and open up new doors and windows to the world that supports our visions and values.&nbsp;</span>
<br>
<p><span>As Cohousing Coaches and project consultants, we provide technical assistance and personalized support for individual members, forming groups, and existing communities. &nbsp;&nbsp;</span><span>We connect a wide variety of kindred spirits and resources. &nbsp;Please find out more at <a href=""http://cohousingcoaches.com"" class=""linkified"">http://cohousingcoaches.com</a>, or <a class=""linkified"">http://www.AgingInCommunity.com/</a></span></p>
<p> <br></p>","[{u'name': u'Intentional Communities', u'urlkey': u'intentionalcomm', u'id': 1112}, {u'name': u'Housing', u'urlkey': u'housing', u'id': 2342}, {u'name': u'Permaculture', u'urlkey': u'permaculture', u'id': 2527}, {u'name': u'New Urbanism', u'urlkey': u'newurbanism', u'id': 3135}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Communal Living', u'urlkey': u'communal-living', u'id': 26429}, {u'name': u'Eco-Village', u'urlkey': u'eco-village', u'id': 36673}, {u'name': u'EcoVillage', u'urlkey': u'ecovillage', u'id': 50356}, {u'name': u'Co-Housing', u'urlkey': u'co-housing', u'id': 91749}, {u'name': u'Starting a Cohousing Community', u'urlkey': u'starting-a-cohousing-community', u'id': 116880}, {u'name': u'Elder Cohousing', u'urlkey': u'elder-cohousing', u'id': 119977}, {u'name': u'EcoVillages', u'urlkey': u'ecovillages', u'id': 122864}, {u'name': u'urban cohousing', u'urlkey': u'urban-cohousing', u'id': 405902}, {u'name': u'rural cohousing', u'urlkey': u'rural-cohousing', u'id': 722482}, {u'name': u'to create a sustainable cohousing projoct', u'urlkey': u'to-create-a-sustainable-cohousing-projoct', u'id': 1007292}]"
Clothing Swap And Events,"<p>Clothing Swaps are fashionable, fun and philanthropic events that allow you to refresh your wardrobe on a dime, while having a blast. De-clutter that closet! Bring all your clothing, shoes &amp; accessories (in good condition) that you no longer wear. SWAP and bring home your favorites for free.</p>","[{u'name': u'Fashionista', u'urlkey': u'fashionista', u'id': 918}, {u'name': u'Fashion Industry', u'urlkey': u'fashion', u'id': 1924}, {u'name': u'Thrift Shoppers', u'urlkey': u'thriftshoppers', u'id': 2899}, {u'name': u'Clothing Swap', u'urlkey': u'clothesswap', u'id': 3479}, {u'name': u'Farmers Market', u'urlkey': u'farmersmarket', u'id': 10508}, {u'name': u'Fun Times', u'urlkey': u'fun-times', u'id': 15117}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Fashion and Style', u'urlkey': u'fashion-and-style', u'id': 16575}, {u'name': u'Charity Events', u'urlkey': u'charity-events', u'id': 54006}, {u'name': u""Women's Support"", u'urlkey': u'womens-support', u'id': 144477}]"
Santa Cruz Women's Clothing Swap,"<p>Meet with locals in a women-only, relaxed and friendly environment to swap the clothes you no longer want or need for cool new ones! No cash traded, just clothes! Please read the FAQs before requesting to become a member. You will find them on the Pages tab here:&nbsp; <a href=""http://www.meetup.com/clothesswap-82/about/"">http://www.meetup.com/clothesswap-82/about/</a><br></p>","[{u'name': u'Community Salvage', u'urlkey': u'salvage', u'id': 3134}, {u'name': u'Clothing Swap', u'urlkey': u'clothesswap', u'id': 3479}, {u'name': u'Freecycle', u'urlkey': u'freecycle', u'id': 7898}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Recycle Reuse Re-invent', u'urlkey': u'recycle-reuse-re-invent', u'id': 66485}, {u'name': u'UpCycling RePurposing ReDesign', u'urlkey': u'upcycling-repurposing-redesign', u'id': 945522}]"
Berkeley/Oakland Vegan Meetup,"<p>Come meet others interested in plant-based dining.<b> People with any diet are welcome, but all food ordered must be vegan. </b> <br></p>
<p>Come to a potluck, dinner, brunch or happy hour and discuss health, plant based foods, restaurants, movies, etc. Meet like minded people, and try out new restaurants and/or recipes. We meet mostly in North Alameda County; think Berkeley, Oakland, Alameda, etc.&nbsp;</p>
<p><br></p>
<p><b>Looking to host an event? </b>We're always looking for volunteers to host potlucks, etc. Only active members who are interested in hosting meetups which are free/donation based will be considered (IE: No speed-dating, etc.). If you're interested in hosting, please say hello to an organizer at our next event.&nbsp;</p>
<p> <br></p>
<p><i>Only official sponsors will be advertised, but anyone is welcome to post to our discussion boards! If you have a business and would like to be a sponsor, please contact the organizer directly, and do not solicit individual members.</i> We don't do no-host events, but you are welcome to list events on our discussion boards at any time. Thanks! <br></p>
<p>&nbsp;<b>All hosts are volunteers. </b>They are here to enjoy the event as much as you are! <br></p>
<p><b>Some events may cost $1 or $2 for host and meetup expenses, including yearly organizer dues. </b>While most events are free, <b>donations are happily accepted!</b> <br></p>
<p>Come eat delicious food, share your passions, and meet new people. And you don't have to do dishes! What's not to like? See you soon.</p>","[{u'name': u'Dining Out', u'urlkey': u'diningout', u'id': 713}, {u'name': u'New In Town', u'urlkey': u'newintown', u'id': 1273}, {u'name': u'Self-Improvement', u'urlkey': u'self-improvement', u'id': 3336}, {u'name': u'Wellness', u'urlkey': u'wellness', u'id': 10306}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Holistic Health', u'urlkey': u'holistic-health', u'id': 15478}, {u'name': u'Organic Foods', u'urlkey': u'organic-foods', u'id': 15485}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Happy Hour', u'urlkey': u'happy-hours', u'id': 16800}, {u'name': u'Brunch', u'urlkey': u'brunch', u'id': 18239}, {u'name': u'Lunch', u'urlkey': u'lunch', u'id': 19892}, {u'name': u'Vegan potluck', u'urlkey': u'vegan-potluck', u'id': 53412}, {u'name': u'Vegan Events with Vegan People and Vegan Stuff', u'urlkey': u'vegan-events-with-vegan-people-and-vegan-stuff', u'id': 119214}, {u'name': u'vegan fitness', u'urlkey': u'vegan-fitness', u'id': 234391}, {u'name': u'Plant Based', u'urlkey': u'plant-based', u'id': 750342}]"
San Francisco Organic + Plant-Based Food Meetup,"<p><span>Meet people who are interested in organic, raw, vegan, whole foods, and conscious fitness (pilates, yoga and dance)! Come to a Meetup to have fun, share recipes, discuss food, sweat, breathe, smile, make new friends, get inspired and motivated.&nbsp;</span><span>Anyone interested in living a conscious organic life and meeting others who are passionate about food, health and fitness are welcome!&nbsp;</span> <br></p>
<p>We throw everything from raw potlucks, to Non GMO expert lectures, to pilates/yoga superfood detox retreats, to spring water collecting hikes. Eco-beauty nights, movie marathons, and conscious dance parties packed with raw treats are a blast as well. Superfood elixir bar happy hour and juicing/smoothie making competitions are coming down the line.</p>
<p>These meet ups allow all of us to teach and learn from each other. I look forward to meeting you all and please feel free to reach out with any questions. I am here to help you create your most epic self mind, body and spirit. That includes having a strong community of like minds to support you on your path!</p>
<p>smile and breathe, you are here.</p>","[{u'name': u'Yoga', u'urlkey': u'yoga', u'id': 244}, {u'name': u'Vegetarian', u'urlkey': u'vegetarian', u'id': 309}, {u'name': u'Vegan', u'urlkey': u'vegan', u'id': 408}, {u'name': u'Raw Food', u'urlkey': u'rawfood', u'id': 1983}, {u'name': u'Pilates', u'urlkey': u'pilates', u'id': 3918}, {u'name': u'Whole Food Nutrition', u'urlkey': u'wholefood', u'id': 5951}, {u'name': u'Nutrition', u'urlkey': u'nutrition', u'id': 10161}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Organic Foods', u'urlkey': u'organic-foods', u'id': 15485}, {u'name': u'Alternative Medicine', u'urlkey': u'alternative-medicine', u'id': 17150}, {u'name': u'Raw Vegan', u'urlkey': u'raw-vegan', u'id': 24509}, {u'name': u'Exercise', u'urlkey': u'excercise', u'id': 25375}, {u'name': u'Raw Potlucks', u'urlkey': u'raw-potlucks', u'id': 28231}, {u'name': u'Vegan Potlucks and Dineouts', u'urlkey': u'vegan-potlucks-and-dineouts', u'id': 74670}]"
African Heritage Resources  Network,"<p><b>Connections, Innovation, Transformation, Total Wellness</b></p>
<p><span>The African Heritage&nbsp;Resources&nbsp;Network connects people to resources and &nbsp;to one another.&nbsp;</span></p>
<p><span><b>This involves identifying and using your strengths and other related untapped resources such as your natural environment, connections, personal skills, and identifying untapped opportunities. We will empower you by linking you to resources for career, business, education,health and lifetime opportunities.</b></span></p>
<p><span>As a Global Network, &nbsp;this group may operate virtually/ physically . We also have a Facebook page and group page for conversations, networking and promotions.&nbsp;</span></p>
<p><span>We ask you to please visit our pages and communicate with other participants sharing your, ideas, challenges as well as successes.</span></p>
<p><span><a href=""https://www.facebook.com/groups/myahrn/""><b>https://www.facebook.com/groups/myahrn/</b></a></span></p>
<p><span><br></span></p>
<p><span>We seek to inspire you with testimonies of real life stories of success that have used our proven methodology. ""The IWAA achievement Principles"" that have demonstrated proven results.</span></p>
<p><span>All postings will be done via the message board and email system of this forum.</span></p>
<p><span>Thank you and Welcome to the group.</span></p>
<p><span>'Achieving&nbsp;your best life ever is our goal.'</span></p>","[{u'name': u'Small Business', u'urlkey': u'smallbiz', u'id': 389}, {u'name': u'Work At Home', u'urlkey': u'workathome', u'id': 589}, {u'name': u'Marketing', u'urlkey': u'marketing', u'id': 1238}, {u'name': u'New Career', u'urlkey': u'newcareer', u'id': 2790}, {u'name': u'Online Education', u'urlkey': u'onlineed', u'id': 3586}, {u'name': u'Social Networking', u'urlkey': u'socialnetwork', u'id': 4422}, {u'name': u'Community TeleStructure', u'urlkey': u'telestructure', u'id': 10121}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Money', u'urlkey': u'money', u'id': 15580}, {u'name': u'Family', u'urlkey': u'families', u'id': 16024}, {u'name': u'Business Strategy', u'urlkey': u'business-strategy', u'id': 17635}, {u'name': u'Entrepreneurship', u'urlkey': u'entrepreneurship', u'id': 19882}]"
The San Mateo Organic Beef Group,"<p>Simply put, we love beef and support the overall health of our  environment, but had yet to see a group that combined both areas into  one group.  Since the creator of the group lives in the Peninsula, she  decided to create The San Mateo Organic Beef Meetup Group for those of  us who want to continue being beef enthusiasts in a way that is more  supportive of the environment. <br /><br />Do you thoroughly enjoy the  consumption of beef and want to support the local sustainable  agriculture movement? Then this group might be for you! Please read on  and find out....<br /><br />Given our enjoyment of beef and desire to  support the sustainable agriculture movement, we are on a quest to  discover, learn about, and of course savor, these beef being produced  locally in more environmentally responsible environments. That means we  have the opportunity to meet our local farmers and ranchers who are  implementing these natural and organic processes to the extent they are  able. The 'artisan' part, for me, means these folks are producing  product in a traditional manner which can be done in smaller or larger  scale.....but always, with traditional methodologies which respect the  environment and the animals.<br /><br />We realize the process of creating a  purely natural or organic growing and/or processing environment is  costly, a long process and challenging on many levels. There are many  ranchers and farmers who are doing what they can to gradually convert to  an environmentally sustainable model. This group is about inclusion and  tolerance, so we strive to learn about and support those farmers' and  ranchers' efforts and products as they continue to make the effort to  this.<br /><br />If you like what you read, please join us and tell everyone you believe might enjoy learning we exist, as well!<br /><br />Join us on this journey!</p>","[{u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Sustainable Agriculture', u'urlkey': u'sustainable-agriculture', u'id': 41038}, {u'name': u'Artisan Beef', u'urlkey': u'artisan-beef', u'id': 54903}, {u'name': u'Beef', u'urlkey': u'beef', u'id': 98601}, {u'name': u'Grass Fed Cattle', u'urlkey': u'grass-fed-cattle', u'id': 98602}, {u'name': u'Grass Finished Cattle', u'urlkey': u'grass-finished-cattle', u'id': 98603}]"
San Francisco EcoTuesday,"<p>EcoTuesday is a structured networking event for sustainable business leaders that takes place on the fourth Tuesday of each month in cities across the country.</p>
<p>Here's a brief outline of what takes place at each event:</p>
<p>* Arrive at the venue, settle in, and meet new people <br>* Learn about the cutting edges of sustainable business from an expert <br>* Quickly introduce yourself &amp; your project to a roomful of people <br>* Network with people you learned about during the Introduction Circle</p>
<p>Please go to www.ecotuesday.com to sign up for the national newsletter &amp; read blog posts from Ambassadors across the country. To learn more about sponsoring an EcoTuesday event, please go to <a href=""http://www.ecotuesday.com/sponsor"">http://www.ecotuesday.com/sponsor</a>.</p>
<p>San Francisco news &amp; blog posts are featured here: <a href=""http://www.ecotuesday.com/city/san-francisco"">http://www.ecotuesday.com/city/san-francisco</a>.</p>","[{u'name': u'Environment', u'urlkey': u'environment', u'id': 89}, {u'name': u'Small Business', u'urlkey': u'smallbiz', u'id': 389}, {u'name': u'Alternative Energy', u'urlkey': u'alternativeenergy', u'id': 1980}, {u'name': u'Professional Development', u'urlkey': u'prodev', u'id': 3880}, {u'name': u'Farmers Market', u'urlkey': u'farmersmarket', u'id': 10508}, {u'name': u'Business', u'urlkey': u'business', u'id': 10575}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Business Referral Networking', u'urlkey': u'business-referral-networking', u'id': 15405}, {u'name': u'Professional Networking', u'urlkey': u'professional-networking', u'id': 15720}, {u'name': u'Sustainability', u'urlkey': u'sustainability', u'id': 15998}, {u'name': u'Business Strategy', u'urlkey': u'business-strategy', u'id': 17635}, {u'name': u'Entrepreneurship', u'urlkey': u'entrepreneurship', u'id': 19882}, {u'name': u'Career', u'urlkey': u'careers', u'id': 22888}, {u'name': u'Green Entrepreneurs', u'urlkey': u'green-entrepreneurs', u'id': 23538}, {u'name': u'EcoTuesday', u'urlkey': u'ecotuesday', u'id': 85344}]"
AQUAPRENEURS - The Bay Area Water Solutions Group,"<p>Water is critical to life. We are faced with a looming crisis with respect to the availability of water to sustain life.&nbsp;There are many smart people developing amazing technologies to address the numerous challenges relating to the use and re-use of water.</p>
<p>PURPOSE: We are a catalyst for entrepreneurs focussed on water. We provide a forum for inventors, innovators and investors to showcase their solutions and look for consumers.</p>
<p>We aim to help connect the dots.</p>","[{u'name': u'Environment', u'urlkey': u'environment', u'id': 89}, {u'name': u'Ecology', u'urlkey': u'ecology', u'id': 3007}, {u'name': u'Safe Water', u'urlkey': u'safewater', u'id': 4590}, {u'name': u'Environmental Professionals', u'urlkey': u'enviropros', u'id': 9705}, {u'name': u'Farmers Market', u'urlkey': u'farmersmarket', u'id': 10508}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Bay Area Entrepreneurs', u'urlkey': u'bay-area-entrepreneurs', u'id': 18569}, {u'name': u'Green Technology', u'urlkey': u'green-technology', u'id': 19556}, {u'name': u'Green Entrepreneurs', u'urlkey': u'green-entrepreneurs', u'id': 23538}, {u'name': u'Water', u'urlkey': u'water', u'id': 29947}]"
ForageCoCo,"<p>Hi! I am starting this group in the hopes of finding some fellow foragers and urban gleaners to go on some outings with out here in Contra Costa and in the East Bay.&nbsp;</p>
<p>&nbsp;</p>
<p><span>We will forage for wild edibles fruits and vegetables, fungi, and wild herbs and greens.&nbsp;</span> <span>We will research and plan outings for foraging in public lands and parks, untended residential lots, and whatever other fruit we can gain access to without violating good etiquette and ethics.&nbsp;</span></p>
<p><span><br>

 Note: Due to the logistics and such of organizing events, if you have you status as coming and you do not show, it makes thing very difficult for the organizer. If this happens three times you will be removed from the group. You'll be able to join again, but please try to show when your status indicates you will.<br>

</span></p>
<p>&nbsp;</p>
<p><span><br>

</span></p>","[{u'name': u'Hiking', u'urlkey': u'hiking', u'id': 638}, {u'name': u'Walking', u'urlkey': u'walkers', u'id': 933}, {u'name': u'Mycology', u'urlkey': u'mycology', u'id': 9814}, {u'name': u'Outdoors', u'urlkey': u'outdoors', u'id': 15046}, {u'name': u'Green Living', u'urlkey': u'green-living', u'id': 15398}, {u'name': u'Herbs', u'urlkey': u'herbs', u'id': 16583}, {u'name': u'Eco-Conscious', u'urlkey': u'eco-conscious', u'id': 16816}, {u'name': u'Primitive Skills', u'urlkey': u'primitive-skills', u'id': 17662}, {u'name': u'Foraging', u'urlkey': u'foraging', u'id': 17664}, {u'name': u'Guerrilla Gardening', u'urlkey': u'guerrilla-gardening', u'id': 17999}, {u'name': u'Edible Wild Mushrooms', u'urlkey': u'edible-wild-mushrooms', u'id': 22094}, {u'name': u'Wild Foods', u'urlkey': u'wild-foods', u'id': 22095}, {u'name': u'Mushrooms', u'urlkey': u'mushrooms', u'id': 24768}, {u'name': u'Wild Edibles', u'urlkey': u'wild-edibles', u'id': 25489}, {u'name': u'Wilderness Medicine', u'urlkey': u'wilderness-medicine', u'id': 80804}, {u'name': u'Wild Edible Plant Recognition', u'urlkey': u'wild-edible-plant-recognition', u'id': 99468}]"
