name,description
Decriminalize Prostitution!,"<p>We're a group of sex workers, clients, taxpayers, freedom lovers, and people from all walks of life working together to stop the immoral, wasteful, and futile practice of arresting and prosecuting consensual sexual acts. Thank you to everyone who helped work to pass Proposition K on the November 2008 ballot here in San Francisco to decriminalize prostitution! While we were unsuccessful this time, we did receive over 41% of the vote, and served notice once again that our movement is not going away. Next time, Liberty willing, we will win! In the meantime, the ongoing work of organizing the sex work community and supporting each other when we are targeted by government or public intolerance, bigotry, or greed for our justly acquired earnings continues... If you are new to this movement, some helpful additional information and resources can be found on the websites of the Prostitutes Education Network (http://www.bayswan.org/), the Sex Workers Outreach Project (http://www.swop-usa.org), Erotic Service Providers Union (http://www.espu-ca.org), and Californians for Privacy (http://www.californians4privacy.us/). Thank you for your interest and participation in this Meetup!</p>"
Sonoma County ACLU Meetup,<p>Anyone interested in protecting civil rights. Join the Sonoma County chapter of the ACLU for our monthly meeting.</p>
"About Face, Sac; Prev: Iraq Vets Againts The War & Ruckus","<p>New Active Social Peaceful Protest Group of Like Minds, Sacramento Action Activist Group of Veterans &amp; Civilians Againts the Military/Industrial Complex; Against Trump, Against GOP Extremist, Against White Supremacists, Against Russia Influence, and Against Corporate Government Control &amp; Greed, Against Racial, Religion, Gender, &amp; LGBTIQ Discrimination.</p> 
<p>In support of Equal Human Rights (racial, LGBTIQ: all genders, orientation, identity, non gender binary, and marriage equality), Affordable Medical Coverage for all, Free Education, Global Warming is Real, supporting groups such as Love is Love, BLM Sac, Sac Democrats, Ruckus Society, Iraq Vets Against the War, &amp; Together We Rise Sac! We support peaceful marches and demonstrations, with the goal of deconstructing the giant Pharmaceutical, and War Industrial Corporate Complex!</p>"
RESULTS - Global and Domestic  Activists,"<p>RESULTS is a citizen mostly volunteer Advocacy group- who for the past 35 years has been committed to the eradication of poverty and related issues wherever it exists . We achieve our goals by changing the public and the political will. Meaning - we work directly with members of congress , NGO's , and the Media to affect changes that will make the most difference to the most vulnerable among us all over the globe - in areas like , education, Healthcare, earned -income tax credits, SNAP, Immunizations , Eradicating AIDS, TB and Malaria, improving Maternal and Child Health Outcomes .</p> 
<p>Who should join is anyone who shares these commitments, who may be feeling frustrated and powerless especially during the time of political confusion in this country and abroad - Anyone who has four hours free a month and anyone who feels that they cannot make a difference in the world or don't make a difference . We know each of us counts and we support you to know it too!</p>"
San Francisco Justice for All,"<p>Launch a Ballot Initiative to prohibit California from budgeting for the State's Public Defenders Offices. California jails have become a big business, discriminating against specific minority groups and economic classes. California's state and county governments consistently starve the Public Defender's Offices for funds so the Prosecutors Office can get the convictions and plea bargains they want. It's not fair for the defense to be controlled by the same boss as the prosecutor. If California refuses to pay for the Public Defenders Offices then the Federal Government will have no choice but to step in. Let's make it happen through a Ballot Initiative for a California Constitutional Amendment. More money and independent leadership for the state's Public Defenders Offices will be an important step towards the American promise of freedom and justice for all.</p>"
Ethical Culture Society of Silicon Valley,"<p><span>We are a democratic fellowship for people seeking a rational, compassionate philosophy of life without regard to belief or&nbsp;non belief in a supreme being. &nbsp;We value the importance of living ethical, responsible, and socially connected lives. </span></p>
<p><span>Together, we do service projects that benefit the larger community, including cleaning up the Bay, food sorting, collecting items for the homeless, and helping disadvantaged families. </span></p>
<p><span>We welcome people from a variety of religious backgrounds. &nbsp;Some consider themselves humanists, atheists, or agnostics. </span><span>Our emphasis is on what we DO to make the world a better place individually and together.</span></p>
<p><span>We discuss ethical dilemmas that arise in our lives, hold programs to learn about ourselves, each other, and the issues of the day. </span><span>We seek to be fully engaged in the community and the world. </span></p>
<p><strong><span>If you seek social events, social action and a socially-minded community, share your passion and join us!</span></strong></p>
<p><span>For more information, visit our website at: &nbsp;<a href=""http://ecssv.org/"">ecssv.org</a></span></p>"
Decriminalize Prostitution!,"<p>We're a group of sex workers, clients, taxpayers, freedom lovers, and people from all walks of life working together to stop the immoral, wasteful, and futile practice of arresting and prosecuting consensual sexual acts. Thank you to everyone who helped work to pass Proposition K on the November 2008 ballot here in San Francisco to decriminalize prostitution! While we were unsuccessful this time, we did receive over 41% of the vote, and served notice once again that our movement is not going away. Next time, Liberty willing, we will win! In the meantime, the ongoing work of organizing the sex work community and supporting each other when we are targeted by government or public intolerance, bigotry, or greed for our justly acquired earnings continues... If you are new to this movement, some helpful additional information and resources can be found on the websites of the Prostitutes Education Network (http://www.bayswan.org/), the Sex Workers Outreach Project (http://www.swop-usa.org), Erotic Service Providers Union (http://www.espu-ca.org), and Californians for Privacy (http://www.californians4privacy.us/). Thank you for your interest and participation in this Meetup!</p>"
Politically Inspired Book Club,"<p>Interested in human rights and social justice? Unsure as to the direction of our political, social and economic institutions?</p>
<p>And are you looking for fellow humans to meet and encourage learning and help inspire change?</p>
<p>In this book club, we encourage each other to learn more, discuss ideas, challenge each other and teach each other. Together we explore nonfiction, memoir and fiction books that we collectively choose. We may also follow up our book club meeting with a tea or a beer down the street.</p>
<p>We meet in cafes or bookstores in the Mountain View/Palo Alto area. &nbsp;Our go-to for the monthly book meeting is Books Inc, 301 Castro St, Mountain View- their staff have been very accommodating! &nbsp;You can buy our monthly books from our book club webpage on their website, http://www.booksinc.net/politcally-inspired-book-club</p>
<p>The environment we hold for our discussions is open and compassionate. Recognizing and honoring the different beliefs and political viewpoints, and seeking best to understand and explore. Six principles for dialogue:</p>
<p>6 principles common to most dialogue and circle groups guide the conversations: <br> . Suspend judgment as best you can <br> . Respect one another <br> . Seek to understand rather than persuade <br> . Invite and honor diversity of opinion <br> . Speak what has personal heart and meaning <br> . Go for honesty and depth without going on and on</p>
<p>Let's get Inspired!</p>"
Bay Area International Development Group,"<p>A lot of good work is being done from within the Bay Area to address global development issues. This Group serves as a space where those involved in and dedicated to this work can commune, share and socialize.</p>"
Balanced View San Francisco,"<p> <br></p>
<p><span>Welcome!</span> <br></p>
<p> It is every single person's birthright to enjoy mental and emotional stability and live in a peaceful world. It is up to each one of us!</p>
<p>The grassroots movement of Balanced View offers a unique education that guarantees immediate benefit and empowerment in our own experience. A simple practice, training, trainer and a&nbsp;global community support us to know our beneficial potency in all life's circumstances.&nbsp; <br> <br>Trainers who have successfully applied this training will lead the meeting, answer questions and share their own direct experience. &nbsp;</p>
<p>If you are new to the Balanced View Training the Open Meetings are perfect to drop by to, and apply for One Day Trainings through the week to explore more.</p>
<p>A great place to start is to watch some talks from our Balanced View Bristol You Tube channel. Enjoy!&nbsp;</p>
<p>All are welcome!</p>
<p>For further information visit...</p>
<p><a href=""http://www.balancedview.org/en/"">Our website</a>:&nbsp;<a href=""http://balancedview.com/"">balancedview.</a>org</p>
<p><a href=""http://www.Bright.how"">www.Bright.how</a><br></p>
<p><a href=""https://www.facebook.com/pages/Balanced-View-UK/228145090553734"">The Balanced View San Francisco Facebook page</a>&nbsp;<a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl"">https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl</a><a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl""></a><a href=""https://www.facebook.com/pages/Balanced-View-California/216482515039006?ref=hl""></a></p>
<p>Or contact The Organizer</p>
<p>*The suggested contribution for Open Meetings is $10 to $20 All are welcome regardless of ability to contribute.</p>
<p>We look forward to meeting you!</p>"
